trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,liquidation,block_trade_id,combo_id,combo_trade_id
1,265522391,2023-09-28 15:51:38,1,0.043,0.04582895,67.77,BTC-27SEP24-70000-C,26930.0,sell,,1.0,,,,
2,265633275,2023-09-29 14:11:22,2,0.042,0.0429948,67.57,BTC-27SEP24-70000-C,26768.48,sell,,0.1,,,,
3,265633276,2023-09-29 14:11:22,3,0.042,0.0429948,67.57,BTC-27SEP24-70000-C,26768.48,sell,,0.1,,,,
4,265654037,2023-09-29 19:34:10,2,0.041,0.04259723,67.09,BTC-27SEP24-70000-C,26929.77,sell,,0.1,,,,
5,265654038,2023-09-29 19:34:10,3,0.041,0.04259723,67.09,BTC-27SEP24-70000-C,26929.77,sell,,1.0,,,,
6,265654039,2023-09-29 19:34:10,3,0.041,0.04259723,67.09,BTC-27SEP24-70000-C,26929.77,sell,,0.1,,,,
7,265717828,2023-10-01 21:26:43,3,0.041,0.04129573,66.91,BTC-27SEP24-70000-C,27124.19,sell,,0.1,,,,
8,265820843,2023-10-02 13:31:10,0,0.043,0.04414188,65.61,BTC-27SEP24-70000-C,28325.02,buy,,2.5,,,,
9,266386450,2023-10-10 11:17:21,0,0.0435,0.0414176,67.98,BTC-27SEP24-70000-C,27595.08,buy,,0.3,,,,
10,266386564,2023-10-10 11:20:34,1,0.0435,0.04147212,68.02,BTC-27SEP24-70000-C,27578.24,buy,,0.3,,,,
11,266386673,2023-10-10 11:23:42,1,0.0435,0.04157715,68.02,BTC-27SEP24-70000-C,27574.48,buy,,0.3,,,,
12,266386821,2023-10-10 11:26:50,1,0.0435,0.04158155,68.03,BTC-27SEP24-70000-C,27569.27,buy,,0.3,,,,
13,266478852,2023-10-11 11:01:42,0,0.044,0.04192444,68.93,BTC-27SEP24-70000-C,27287.45,buy,,4.2,,,,
14,266478974,2023-10-11 11:04:47,1,0.044,0.042209,68.92,BTC-27SEP24-70000-C,27297.03,buy,,4.2,,,,
15,266479090,2023-10-11 11:07:49,2,0.0435,0.04218821,68.76,BTC-27SEP24-70000-C,27271.36,sell,,4.2,,,,
16,266479200,2023-10-11 11:11:09,0,0.044,0.04224608,68.98,BTC-27SEP24-70000-C,27258.63,buy,,0.1,,,,
17,266479201,2023-10-11 11:11:09,1,0.044,0.04224608,68.98,BTC-27SEP24-70000-C,27258.63,buy,,4.1,,,,
18,266528975,2023-10-11 18:41:26,2,0.039,0.04113781,68.14,BTC-27SEP24-70000-C,26616.53,sell,,0.1,,,,
19,266528976,2023-10-11 18:41:26,3,0.039,0.04113781,68.14,BTC-27SEP24-70000-C,26616.53,sell,,0.9,,,,
20,266573573,2023-10-12 14:34:45,2,0.0385,0.03933804,67.92,BTC-27SEP24-70000-C,26676.19,buy,,2.0,,,,
21,266705598,2023-10-15 10:00:45,0,0.04,0.03803587,68.43,BTC-27SEP24-70000-C,26900.79,buy,,0.5,,,,
22,266705611,2023-10-15 10:03:46,1,0.04,0.03808865,68.43,BTC-27SEP24-70000-C,26899.87,buy,,0.5,,,,
23,266705620,2023-10-15 10:06:58,1,0.04,0.03814682,68.43,BTC-27SEP24-70000-C,26900.41,buy,,0.5,,,,
24,266705651,2023-10-15 10:09:50,2,0.039,0.03814504,67.99,BTC-27SEP24-70000-C,26900.16,sell,,0.1,,,,
25,266705652,2023-10-15 10:09:58,0,0.0395,0.0381628,68.21,BTC-27SEP24-70000-C,26900.16,sell,,0.1,,,,
26,266705857,2023-10-15 11:01:17,0,0.04,0.03818546,68.45,BTC-27SEP24-70000-C,26892.23,buy,,0.2,,,,
27,266706114,2023-10-15 11:04:20,2,0.0395,0.03815537,68.27,BTC-27SEP24-70000-C,26877.85,buy,,0.1,,,,
28,266706115,2023-10-15 11:04:33,0,0.04,0.03819253,68.48,BTC-27SEP24-70000-C,26879.24,buy,,0.1,,,,
29,266706185,2023-10-15 11:07:38,1,0.04,0.03824993,68.5,BTC-27SEP24-70000-C,26871.14,buy,,0.2,,,,
30,266706195,2023-10-15 11:10:47,1,0.04,0.03854835,68.51,BTC-27SEP24-70000-C,26869.68,sell,,0.1,,,,
31,267055963,2023-10-17 14:34:28,0,0.042,0.04177861,66.66,BTC-27SEP24-70000-C,28401.95,sell,,25.0,,101407,BTC-CS-27SEP24-70000_120000,
32,267145185,2023-10-18 08:13:09,2,0.0415,0.04312498,66.39,BTC-27SEP24-70000-C,28501.64,sell,,0.1,,,,
33,267252621,2023-10-19 15:49:05,0,0.0445,0.04328358,67.36,BTC-27SEP24-70000-C,28752.83,sell,,1.1,,,,
34,267253082,2023-10-19 15:53:26,1,0.0445,0.04331619,67.43,BTC-27SEP24-70000-C,28715.82,sell,,2.5,,,,
35,267253370,2023-10-19 15:56:33,1,0.0445,0.04341061,67.44,BTC-27SEP24-70000-C,28699.39,sell,,2.5,,,,
36,267253875,2023-10-19 15:59:42,1,0.0445,0.04349012,67.45,BTC-27SEP24-70000-C,28695.37,sell,,2.5,,,,
37,267254199,2023-10-19 16:01:49,0,0.0455,0.04359909,67.81,BTC-27SEP24-70000-C,28729.28,buy,,1.4,,,,
38,267271451,2023-10-19 17:55:22,2,0.0445,0.04474421,67.72,BTC-27SEP24-70000-C,28560.43,sell,,3.7,,,,
39,267325840,2023-10-20 05:05:06,0,0.0455,0.04502453,66.79,BTC-27SEP24-70000-C,29309.05,buy,,0.1,,,,
40,267360093,2023-10-20 08:29:58,0,0.048,0.04751322,67.29,BTC-27SEP24-70000-C,29616.32,buy,,1.0,,,,
41,267485987,2023-10-21 12:39:46,1,0.048,0.04783911,67.1,BTC-27SEP24-70000-C,29797.27,buy,,1.0,,,,
42,267614533,2023-10-23 02:59:15,0,0.051,0.05165115,67.25,BTC-27SEP24-70000-C,30398.53,sell,,10.0,,,,
43,267614552,2023-10-23 02:59:36,0,0.0515,0.05158058,67.44,BTC-27SEP24-70000-C,30395.01,buy,,1.0,,,,
44,267614598,2023-10-23 03:00:07,2,0.051,0.05159896,67.26,BTC-27SEP24-70000-C,30390.41,sell,,10.0,,,,
45,267618357,2023-10-23 03:41:31,3,0.051,0.05134545,67.16,BTC-27SEP24-70000-C,30452.5,buy,,20.0,,,,
46,267625656,2023-10-23 03:53:41,3,0.051,0.05226175,66.88,BTC-27SEP24-70000-C,30615.57,sell,,12.0,,,,
47,267625717,2023-10-23 03:53:48,3,0.051,0.05178442,66.88,BTC-27SEP24-70000-C,30611.75,buy,,8.0,,,,
48,267636107,2023-10-23 04:16:49,0,0.053,0.05140667,67.56,BTC-27SEP24-70000-C,30647.1,buy,,0.1,,,,
49,267636108,2023-10-23 04:16:49,1,0.053,0.05140667,67.56,BTC-27SEP24-70000-C,30647.1,buy,,0.2,,,,
50,267666599,2023-10-23 07:32:12,2,0.052,0.05326362,67.06,BTC-27SEP24-70000-C,30736.01,sell,,0.5,,,,
51,267852982,2023-10-23 22:27:46,0,0.058,0.06029689,67.2,BTC-27SEP24-70000-C,32002.57,sell,,10.0,,,,
52,267984262,2023-10-24 00:32:49,0,0.0615,0.06401338,65.75,BTC-27SEP24-70000-C,33497.26,buy,,0.1,,,,
53,268022474,2023-10-24 02:13:45,0,0.067,0.06692136,65.9,BTC-27SEP24-70000-C,34499.95,buy,,1.0,,,,
54,268189532,2023-10-24 11:18:53,0,0.072,0.07230013,66.99,BTC-27SEP24-70000-C,34819.23,buy,,1.0,,,,
55,268693740,2023-10-26 07:22:31,2,0.0675,0.06711569,65.62,BTC-27SEP24-70000-C,34739.39,buy,,5.0,,,,
56,269110593,2023-10-29 16:34:02,2,0.0625,0.06506127,64.51,BTC-27SEP24-70000-C,34419.97,sell,,0.1,,,,
57,269284782,2023-10-31 11:07:50,0,0.0685,0.06585664,66.6,BTC-27SEP24-70000-C,34459.67,buy,,1.0,,,,
58,269285509,2023-10-31 11:27:59,2,0.0645,0.06549443,65.25,BTC-27SEP24-70000-C,34453.26,buy,,3.0,,,,
59,269522560,2023-11-02 02:00:40,0,0.0825,0.07955507,69.04,BTC-27SEP24-70000-C,35610.12,buy,,25.0,,106251,,
60,269648691,2023-11-02 16:20:05,2,0.079,0.07826498,69.83,BTC-27SEP24-70000-C,34587.83,sell,,0.5,,,,
61,269879417,2023-11-04 12:35:06,2,0.0785,0.07623848,69.76,BTC-27SEP24-70000-C,34729.24,buy,,1.0,,,,
62,270110033,2023-11-07 08:03:00,3,0.0785,0.07753213,69.47,BTC-27SEP24-70000-C,34946.36,buy,,2.0,,,,
63,270130071,2023-11-07 12:00:08,2,0.077,0.07781098,69.54,BTC-27SEP24-70000-C,34630.4,sell,,0.1,,,,
64,270270521,2023-11-08 15:11:57,0,0.0785,0.07949531,69.14,BTC-27SEP24-70000-C,35220.53,sell,,0.1,,,,
65,270273811,2023-11-08 15:38:12,1,0.0785,0.07843646,69.19,BTC-27SEP24-70000-C,35215.74,buy,,1.0,,,,
66,270408263,2023-11-09 05:48:19,0,0.089,0.08757923,70.22,BTC-27SEP24-70000-C,36643.82,buy,,1.0,,,,
67,270500123,2023-11-09 14:19:01,0,0.097,0.09655535,71.08,BTC-27SEP24-70000-C,37545.09,buy,,4.0,,,,
68,270500124,2023-11-09 14:19:01,1,0.097,0.09655535,71.08,BTC-27SEP24-70000-C,37545.09,buy,,0.3,,,,
69,270545026,2023-11-09 15:41:13,2,0.0945,0.09517226,70.33,BTC-27SEP24-70000-C,37489.65,buy,,1.0,,,,
70,270687366,2023-11-10 05:48:45,2,0.086,0.08528762,69.33,BTC-27SEP24-70000-C,36715.7,buy,,1.0,,,,
71,270798306,2023-11-10 22:30:21,0,0.087,0.08789637,68.56,BTC-27SEP24-70000-C,37344.78,sell,,0.1,,,,
72,271072919,2023-11-14 00:56:27,2,0.079,0.07909493,68.07,BTC-27SEP24-70000-C,36259.2,sell,,0.1,,,,
73,271103663,2023-11-14 09:56:23,2,0.075,0.07680635,66.33,BTC-27SEP24-70000-C,36507.91,sell,,0.2,,,,
74,271279769,2023-11-15 07:38:03,2,0.0735,0.0744536,67.42,BTC-27SEP24-70000-C,35654.66,sell,,0.1,,,,
75,271356474,2023-11-15 18:22:40,0,0.0825,0.08377618,67.56,BTC-27SEP24-70000-C,37340.8,buy,,1.0,,,,
76,271439559,2023-11-15 23:10:34,0,0.086,0.08694811,67.74,BTC-27SEP24-70000-C,37806.0,buy,,0.8,,,,
77,271924271,2023-11-19 23:02:21,2,0.08,0.07991846,67.76,BTC-27SEP24-70000-C,37149.02,buy,,1.0,,,,
78,272344238,2023-11-22 13:23:30,2,0.077,0.07829501,68.29,BTC-27SEP24-70000-C,36485.45,sell,,0.9,,,,
79,272344239,2023-11-22 13:23:30,3,0.077,0.07829501,68.29,BTC-27SEP24-70000-C,36485.45,sell,,2.6,,,,
80,272591460,2023-11-24 12:32:06,0,0.0805,0.08193941,66.98,BTC-27SEP24-70000-C,37876.33,buy,,0.2,,,,
81,272641700,2023-11-24 16:16:56,0,0.0855,0.08540201,67.86,BTC-27SEP24-70000-C,38250.05,sell,,0.1,,,,
82,272777236,2023-11-26 18:46:47,2,0.077,0.07845529,67.17,BTC-27SEP24-70000-C,37222.16,buy,,0.3,,,,
83,272859017,2023-11-27 14:18:22,2,0.0765,0.07700422,67.99,BTC-27SEP24-70000-C,36798.95,sell,,1.0,,,,
84,273073581,2023-11-29 10:13:13,0,0.0815,0.08114576,67.2,BTC-27SEP24-70000-C,38241.95,sell,,0.1,,,,
85,273170899,2023-11-30 11:53:47,2,0.08,0.07855252,67.55,BTC-27SEP24-70000-C,37867.11,buy,,0.1,,,,
86,273254354,2023-12-01 07:37:04,2,0.0785,0.07934608,66.34,BTC-27SEP24-70000-C,38274.78,buy,,0.8,,,,
87,273268956,2023-12-01 08:55:16,0,0.079,0.07930983,66.41,BTC-27SEP24-70000-C,38333.7,buy,,0.2,,,,
88,273467263,2023-12-02 21:44:07,0,0.082,0.08272387,65.43,BTC-27SEP24-70000-C,39572.91,sell,,9.0,,,,
89,273467264,2023-12-02 21:44:07,1,0.082,0.08272387,65.43,BTC-27SEP24-70000-C,39572.91,sell,,0.3,,,,
90,273514543,2023-12-03 15:47:26,0,0.083,0.08101103,65.42,BTC-27SEP24-70000-C,39764.95,buy,,0.1,,,,
91,273605019,2023-12-04 04:23:43,0,0.0865,0.08643004,64.9,BTC-27SEP24-70000-C,40711.13,buy,,2.6,,,,
92,273605020,2023-12-04 04:23:43,1,0.0865,0.08643004,64.9,BTC-27SEP24-70000-C,40711.13,buy,,0.4,,,,
93,273638778,2023-12-04 06:43:22,0,0.0955,0.0943133,66.42,BTC-27SEP24-70000-C,41478.19,buy,,3.0,,,,
94,273648962,2023-12-04 07:53:05,2,0.0905,0.09225642,64.94,BTC-27SEP24-70000-C,41423.58,buy,,8.0,,,,
95,273649151,2023-12-04 07:54:49,2,0.09,0.09143814,64.83,BTC-27SEP24-70000-C,41399.14,buy,,6.0,,,,
96,273694823,2023-12-04 11:56:10,0,0.0934,0.09328393,65.83,BTC-27SEP24-70000-C,41535.04,sell,,50.0,,113721,,
97,273745367,2023-12-04 17:00:24,2,0.0915,0.09263608,65.13,BTC-27SEP24-70000-C,41604.73,buy,,0.5,,,,
98,273747759,2023-12-04 17:10:10,0,0.092,0.09302287,65.06,BTC-27SEP24-70000-C,41723.76,buy,,0.5,,,,
99,273778285,2023-12-04 22:04:36,2,0.089,0.09504145,63.8,BTC-27SEP24-70000-C,41978.43,sell,,1.0,,,,
100,273782572,2023-12-04 22:19:27,0,0.095,0.093862,64.92,BTC-27SEP24-70000-C,42396.32,buy,,0.5,,,,
101,273785333,2023-12-04 22:37:10,2,0.0945,0.09439835,65.18,BTC-27SEP24-70000-C,42164.96,buy,,0.5,,,,
102,273802109,2023-12-05 02:58:08,2,0.092,0.09301735,65.15,BTC-27SEP24-70000-C,41723.97,buy,,5.0,,,,
103,273802130,2023-12-05 02:59:08,3,0.092,0.09301256,65.14,BTC-27SEP24-70000-C,41723.03,buy,,5.0,,,,
104,273802337,2023-12-05 03:03:15,3,0.092,0.09314733,65.14,BTC-27SEP24-70000-C,41718.81,buy,,2.4,,,,
105,273802338,2023-12-05 03:03:15,3,0.092,0.09314733,65.14,BTC-27SEP24-70000-C,41718.81,buy,,0.5,,,,
106,273802367,2023-12-05 03:05:09,2,0.0915,0.09292962,64.97,BTC-27SEP24-70000-C,41739.52,sell,,7.1,,,,
107,273835325,2023-12-05 10:42:45,3,0.0915,0.09165929,65.15,BTC-27SEP24-70000-C,41673.44,sell,,0.5,,,,
108,274024115,2023-12-05 22:49:59,0,0.102,0.10217883,63.98,BTC-27SEP24-70000-C,44335.16,buy,,0.5,,,,
109,274024220,2023-12-05 22:51:14,0,0.1025,0.10181872,64.21,BTC-27SEP24-70000-C,44285.35,buy,,0.5,,,,
110,274024688,2023-12-05 22:55:29,1,0.1025,0.10229254,64.13,BTC-27SEP24-70000-C,44325.84,buy,,0.5,,,,
111,274091829,2023-12-06 08:56:13,2,0.097,0.09852042,63.41,BTC-27SEP24-70000-C,43831.83,sell,,0.1,,,,
112,274092129,2023-12-06 08:58:05,0,0.0995,0.09870168,64.09,BTC-27SEP24-70000-C,43870.31,buy,,2.0,,,,
113,274092140,2023-12-06 08:58:10,1,0.0995,0.09865399,64.11,BTC-27SEP24-70000-C,43863.78,buy,,8.0,,,,
114,274094269,2023-12-06 09:25:53,2,0.0985,0.09766632,64.01,BTC-27SEP24-70000-C,43738.41,buy,,10.0,,,,
115,274094270,2023-12-06 09:25:53,3,0.0985,0.09766632,64.01,BTC-27SEP24-70000-C,43738.41,buy,,10.0,,,,
116,274095266,2023-12-06 09:43:13,0,0.099,0.09821421,64.01,BTC-27SEP24-70000-C,43845.46,buy,,10.0,,,,
117,274095267,2023-12-06 09:43:13,1,0.099,0.09821421,64.01,BTC-27SEP24-70000-C,43845.46,buy,,10.0,,,,
118,274098276,2023-12-06 10:08:14,0,0.1,0.09942434,64.06,BTC-27SEP24-70000-C,44008.53,buy,,0.9,,,,
119,274132196,2023-12-06 13:44:56,0,0.1015,0.10171856,64.44,BTC-27SEP24-70000-C,44059.21,buy,,1.0,,,,
120,274144757,2023-12-06 15:20:19,1,0.1015,0.10056248,64.59,BTC-27SEP24-70000-C,43969.45,buy,,2.7,,,,
121,274255051,2023-12-07 11:00:17,2,0.0925,0.09206735,63.51,BTC-27SEP24-70000-C,43127.55,buy,,10.0,,,,
122,274266793,2023-12-07 12:28:28,2,0.0915,0.09206144,63.22,BTC-27SEP24-70000-C,43159.42,buy,,2.3,,,,
123,274266794,2023-12-07 12:28:28,3,0.0915,0.09206144,63.22,BTC-27SEP24-70000-C,43159.42,buy,,0.4,,,,
124,274266795,2023-12-07 12:28:28,3,0.0915,0.09206144,63.22,BTC-27SEP24-70000-C,43159.42,buy,,0.1,,,,
125,274266853,2023-12-07 12:28:46,2,0.091,0.09193197,63.1,BTC-27SEP24-70000-C,43136.61,buy,,7.2,,,,
126,274288001,2023-12-07 15:23:54,0,0.094,0.0937358,62.98,BTC-27SEP24-70000-C,43747.54,buy,,5.0,,,,
127,274386475,2023-12-08 08:35:23,2,0.093,0.09210252,63.46,BTC-27SEP24-70000-C,43257.31,sell,,1.0,,,,
128,274509651,2023-12-08 22:50:15,0,0.096,0.09650433,62.37,BTC-27SEP24-70000-C,44445.1,sell,,0.1,,,,
129,274794275,2023-12-11 11:15:30,2,0.0879,0.08707558,63.48,BTC-27SEP24-70000-C,42435.13,buy,,15.0,,115479,BTC-CDIAG-27SEP24_29DEC23-70000_50000,
130,274931546,2023-12-11 21:02:00,2,0.0815,0.08076548,63.93,BTC-27SEP24-70000-C,40883.65,sell,,0.1,,,,
131,274931830,2023-12-11 21:03:50,3,0.0815,0.08089256,63.88,BTC-27SEP24-70000-C,40915.3,sell,,0.1,,,,
132,275002894,2023-12-12 08:15:59,0,0.083,0.08345153,62.81,BTC-27SEP24-70000-C,41844.35,sell,,0.1,,,,
133,275167043,2023-12-13 10:26:34,2,0.0795,0.08043243,62.91,BTC-27SEP24-70000-C,41141.55,sell,1.0,1.0,,,,
134,275298201,2023-12-14 07:59:44,0,0.0865,0.08741744,62.36,BTC-27SEP24-70000-C,42909.54,buy,1.0,1.0,,,,
135,275298215,2023-12-14 08:00:10,0,0.087,0.08741174,62.51,BTC-27SEP24-70000-C,42913.82,buy,1.0,1.0,,,,
136,275298293,2023-12-14 08:00:32,2,0.0865,0.08730039,62.37,BTC-27SEP24-70000-C,42906.9,buy,1.0,1.0,,,,
137,275298364,2023-12-14 08:00:51,3,0.0865,0.08731989,62.35,BTC-27SEP24-70000-C,42920.67,buy,1.0,1.0,,,,
138,275298597,2023-12-14 08:01:53,2,0.086,0.08720703,62.2,BTC-27SEP24-70000-C,42911.84,sell,1.0,1.0,,,,
139,275298617,2023-12-14 08:01:56,3,0.086,0.08719886,62.2,BTC-27SEP24-70000-C,42910.5,sell,1.0,1.0,,,,
140,275298627,2023-12-14 08:01:59,3,0.086,0.08718468,62.2,BTC-27SEP24-70000-C,42908.57,sell,1.0,1.0,,,,
141,275303184,2023-12-14 08:46:28,0,0.0875,0.08786179,62.66,BTC-27SEP24-70000-C,42896.07,sell,0.2,0.2,,,,
142,275478181,2023-12-15 09:48:33,2,0.083,0.08341131,61.36,BTC-27SEP24-70000-C,42879.2,buy,4.0,4.0,,,,
143,275741447,2023-12-18 01:32:38,2,0.076,0.07653125,62.25,BTC-27SEP24-70000-C,41127.68,sell,1.0,1.0,,,,
144,275741448,2023-12-18 01:32:38,3,0.076,0.07653125,62.25,BTC-27SEP24-70000-C,41127.68,sell,0.1,0.1,,,,
145,275779780,2023-12-18 08:42:31,0,0.0775,0.07535561,62.7,BTC-27SEP24-70000-C,41178.0,buy,10.0,10.0,,,,
146,275798663,2023-12-18 10:31:26,2,0.073,0.07392843,62.05,BTC-27SEP24-70000-C,40669.86,sell,0.1,0.1,,,,
147,275798664,2023-12-18 10:31:26,3,0.073,0.07392843,62.05,BTC-27SEP24-70000-C,40669.86,sell,0.1,0.1,,,,
148,275849138,2023-12-18 17:31:17,0,0.076,0.07582672,61.54,BTC-27SEP24-70000-C,41598.84,buy,1.8,1.8,,,,
149,275849228,2023-12-18 17:31:23,1,0.076,0.07589997,61.51,BTC-27SEP24-70000-C,41616.97,buy,1.9,1.9,,,,
150,275850609,2023-12-18 17:55:50,2,0.0755,0.07531938,61.51,BTC-27SEP24-70000-C,41494.1,buy,1.3,1.3,,,,
151,275850610,2023-12-18 17:55:50,3,0.0755,0.07531938,61.51,BTC-27SEP24-70000-C,41494.1,buy,1.3,1.3,,,,
152,275850611,2023-12-18 17:55:50,3,0.0755,0.07531938,61.51,BTC-27SEP24-70000-C,41494.1,buy,1.3,1.3,,,,
153,275850612,2023-12-18 17:55:50,3,0.0755,0.07531938,61.51,BTC-27SEP24-70000-C,41494.1,buy,1.3,1.3,,,,
154,275850613,2023-12-18 17:55:50,3,0.0755,0.07531938,61.51,BTC-27SEP24-70000-C,41494.1,buy,1.1,1.1,,,,
155,276013246,2023-12-19 20:37:11,0,0.082,0.08257473,62.74,BTC-27SEP24-70000-C,42191.58,sell,1.0,1.0,,,,
156,276013247,2023-12-19 20:37:11,1,0.082,0.08257473,62.74,BTC-27SEP24-70000-C,42191.58,sell,0.3,0.3,,,,
157,276028154,2023-12-20 02:23:38,0,0.084,0.08472603,63.09,BTC-27SEP24-70000-C,42347.8,sell,0.6,0.6,,,,
158,276123694,2023-12-20 15:12:56,0,0.0925,0.09175855,62.74,BTC-27SEP24-70000-C,44120.9,buy,0.1,0.1,,,,
159,276532405,2023-12-24 11:00:24,2,0.092,0.08850507,63.52,BTC-27SEP24-70000-C,43615.77,buy,0.4,0.4,,,,
160,276770257,2023-12-26 22:21:00,2,0.085,0.08459118,63.31,BTC-27SEP24-70000-C,42550.09,sell,0.1,0.1,,,,
161,276770319,2023-12-26 22:21:20,3,0.085,0.08441737,63.39,BTC-27SEP24-70000-C,42504.13,sell,0.2,0.2,,,,
162,276770331,2023-12-26 22:21:30,3,0.085,0.0844665,63.38,BTC-27SEP24-70000-C,42509.52,sell,0.2,0.2,,,,
163,276770819,2023-12-26 22:32:04,3,0.085,0.08529361,63.48,BTC-27SEP24-70000-C,42427.36,sell,0.3,0.3,,,,
164,276776846,2023-12-27 01:15:26,3,0.085,0.08535734,63.65,BTC-27SEP24-70000-C,42310.13,sell,1.5,1.5,,,,
165,276776847,2023-12-27 01:15:26,3,0.085,0.08535734,63.65,BTC-27SEP24-70000-C,42310.13,sell,0.3,0.3,,,,
166,276780627,2023-12-27 02:52:46,3,0.085,0.08521016,63.74,BTC-27SEP24-70000-C,42267.23,sell,1.4,1.4,,,,
167,276780667,2023-12-27 02:53:12,3,0.085,0.08514701,63.76,BTC-27SEP24-70000-C,42253.14,sell,1.4,1.4,,,,
168,276780668,2023-12-27 02:53:12,3,0.085,0.08514701,63.76,BTC-27SEP24-70000-C,42253.14,sell,0.2,0.2,,,,
169,276780806,2023-12-27 02:56:13,3,0.085,0.08510424,63.79,BTC-27SEP24-70000-C,42244.6,sell,1.5,1.5,,,,
170,276780807,2023-12-27 02:56:13,3,0.085,0.08510424,63.79,BTC-27SEP24-70000-C,42244.6,sell,0.3,0.3,,,,
171,276780908,2023-12-27 02:58:27,3,0.085,0.08492949,63.86,BTC-27SEP24-70000-C,42210.49,sell,2.6,2.6,,,,
172,276879956,2023-12-27 22:54:50,0,0.091,0.09233082,63.59,BTC-27SEP24-70000-C,43435.15,buy,1.0,1.0,,,,
173,276887080,2023-12-28 00:33:01,0,0.092,0.09175451,63.58,BTC-27SEP24-70000-C,43647.29,buy,2.2,2.2,,,,
174,276887283,2023-12-28 00:33:03,1,0.092,0.09176349,63.52,BTC-27SEP24-70000-C,43677.76,buy,2.8,2.8,,,,
175,277289498,2023-12-30 17:33:41,2,0.0875,0.08759202,63.55,BTC-27SEP24-70000-C,42551.24,sell,2.5,2.5,,,,
176,277290534,2023-12-30 17:45:31,2,0.087,0.08777737,63.52,BTC-27SEP24-70000-C,42446.67,sell,0.5,0.5,,,,
177,277326398,2023-12-31 09:08:40,3,0.087,0.08744959,63.2,BTC-27SEP24-70000-C,42515.06,buy,2.6,2.6,,,,
178,277326446,2023-12-31 09:10:16,3,0.087,0.08735709,63.16,BTC-27SEP24-70000-C,42525.15,buy,2.4,2.4,,,,
179,277483044,2024-01-02 00:13:54,0,0.1045,0.1046608,64.71,BTC-27SEP24-70000-C,44612.82,buy,0.2,0.2,,,,
180,277483157,2024-01-02 00:14:03,1,0.1045,0.10474826,64.68,BTC-27SEP24-70000-C,44624.41,buy,0.2,0.2,,,,
181,277483224,2024-01-02 00:14:15,1,0.1045,0.10486886,64.64,BTC-27SEP24-70000-C,44650.03,buy,0.1,0.1,,,,
182,277527978,2024-01-02 02:43:58,0,0.112,0.10955004,65.71,BTC-27SEP24-70000-C,45318.33,buy,1.0,1.0,,,,
183,277592863,2024-01-02 10:49:46,2,0.109,0.10941945,64.09,BTC-27SEP24-70000-C,45539.63,buy,1.0,1.0,,,,
184,277596753,2024-01-02 11:22:21,3,0.109,0.10858283,64.02,BTC-27SEP24-70000-C,45585.0,buy,0.6,0.6,,,,
185,277600034,2024-01-02 11:44:53,2,0.1065,0.10692932,63.79,BTC-27SEP24-70000-C,45258.5,sell,1.2,1.2,,,,
186,277619189,2024-01-02 14:07:33,0,0.1095,0.10997277,63.75,BTC-27SEP24-70000-C,45772.98,sell,0.6,0.6,,,,
187,277620350,2024-01-02 14:14:41,2,0.109,0.1103521,63.48,BTC-27SEP24-70000-C,45804.35,sell,0.6,0.6,,,,
188,277620351,2024-01-02 14:14:41,3,0.109,0.1103521,63.48,BTC-27SEP24-70000-C,45804.35,sell,0.2,0.2,,,,
189,277620621,2024-01-02 14:16:06,0,0.1095,0.11036924,63.63,BTC-27SEP24-70000-C,45832.93,sell,0.6,0.6,,,,
190,277636237,2024-01-02 15:16:03,2,0.106,0.10666978,63.83,BTC-27SEP24-70000-C,45093.01,sell,0.1,0.1,,,,
191,277784251,2024-01-03 11:52:11,2,0.097,0.09765951,63.45,BTC-27SEP24-70000-C,44150.99,sell,0.1,0.1,,,,
192,277818713,2024-01-03 12:08:38,2,0.088,0.0917815,63.84,BTC-27SEP24-70000-C,42432.94,sell,0.2,0.2,,,,
193,277914237,2024-01-03 15:19:44,0,0.0955,0.0930856,66.56,BTC-27SEP24-70000-C,42455.2,sell,0.8,0.8,,,,
194,277914238,2024-01-03 15:19:44,1,0.0955,0.0930856,66.56,BTC-27SEP24-70000-C,42455.2,sell,4.2,4.2,,,,
195,278291710,2024-01-05 10:05:14,0,0.0995,0.10099483,65.67,BTC-27SEP24-70000-C,44107.67,sell,9.0,9.0,,,,
196,278291711,2024-01-05 10:05:14,1,0.0995,0.10099483,65.67,BTC-27SEP24-70000-C,44107.67,buy,1.0,1.0,,,,
197,278514040,2024-01-07 13:22:13,0,0.103,0.10302115,67.29,BTC-27SEP24-70000-C,44312.31,sell,0.5,0.5,,,,
198,278514516,2024-01-07 13:25:23,0,0.1035,0.10299722,67.36,BTC-27SEP24-70000-C,44354.55,sell,0.5,0.5,,,,
199,278514786,2024-01-07 13:28:33,1,0.1035,0.10296416,67.37,BTC-27SEP24-70000-C,44355.36,sell,0.5,0.5,,,,
200,278515379,2024-01-07 13:31:42,0,0.104,0.10334917,67.43,BTC-27SEP24-70000-C,44386.38,sell,0.5,0.5,,,,
201,278515985,2024-01-07 13:35:20,2,0.1035,0.10280333,67.47,BTC-27SEP24-70000-C,44295.96,sell,1.3,1.3,,,,
202,278516210,2024-01-07 13:38:35,0,0.104,0.10366682,67.63,BTC-27SEP24-70000-C,44300.15,sell,1.3,1.3,,,,
